"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-02","12.08","0.00",,,,"77","46",,,,,,,"    1",
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-03","15.21","0.00",,,,"79","45",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-04","9.62","0.00",,,,"87","53",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-05","8.50","0.07",,,,"82","45",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-06","7.38","0.11",,,,"60","42","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-07","4.70","0.16",,,,"48","40","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-08","4.25","0.00",,,,"63","36","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-09","8.05","0.00",,,,"75","41",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-10","8.50","0.00",,,,"81","51",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-11","8.95","0.03",,,,"52","38","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-12","6.93","0.14",,,,"57","37",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-13","4.47","0.00",,,,"57","39",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-14","5.14","0.00",,,,"73","38",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-15","7.16","0.00",,,,"79","41",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-16","8.72","0.00",,,,"83","53",,,"    1",,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-17","8.28","0.00",,,,"79","55",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-18","9.62","0.00",,,,"83","51",,,"    1",,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-19","6.93","0.32",,,,"55","42",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-20","8.72","0.00",,,,"73","40",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-21","6.26","0.00",,,,"83","49",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-22","9.40","0.00",,,,"90","56",,,,,,,"    1",
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-23","7.38","0.49",,,,"69","48",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-24","8.28","0.01",,,,"66","43","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-25","14.09","0.00",,,,"73","49",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-26","17.22","0.00",,,,"89","47",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-27","12.08","0.00",,,,"72","48",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-28","6.04","0.00",,,,"74","42",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-29","6.71","0.00",,,,"77","38",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-30","10.07","0.00",,,,"83","47",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-31","7.83","0.00",,,,"73","44",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-01","7.83","0.00",,,,"81","53",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-02","7.38","0.05",,,,"87","50",,,"    1",,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-03","8.50","0.00",,,,"89","52",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-04","13.87","0.00",,,,"88","54",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-05","20.36","0.00",,,,"83","58",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-06","13.42","2.21",,,,"86","49","    1",,"    1",,"    1",,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-07","8.95","0.51",,,,"79","51","    1",,"    1",,"    1",,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-08","10.74","0.00",,,,"88","56",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-09","11.41","0.00",,,,"92","57",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-10","8.50","0.00",,,,"74","50",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-11","10.74","0.00",,,,"77","45",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-12","6.71","0.00",,,,"83","54",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-13","6.93","0.00",,,,"89","50",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-14","7.16","0.00",,,,"83","56",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-15","12.08","0.08",,,,"82","58",,,"    1",,"    1",,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-16","10.07","0.00",,,,"78","56",,,"    1",,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-17","10.51","0.00",,,,"93","59",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-18","7.38","0.00",,,,"96","66",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-19","9.62","0.00",,,,"93","60",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-20","7.61","0.00",,,,"71","52","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-21","18.34","0.00",,,,"82","56",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-22","10.51","0.00",,,,"97","56",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-23","6.93","0.00",,,,"100","62",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-24","7.61","0.00",,,,"97","62",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-25","10.96","0.00",,,,"100","64",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-26","10.29","0.00",,,,"99","64",,,"    1",,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-27","9.84","0.02",,,,"93","65",,,"    1",,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-28","8.05","0.00",,,,"93","60",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-29","8.05","0.00",,,,"95","62",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-06-30","7.38","0.00",,,,"93","63",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-07-01","11.86","0.02",,,,"95","64",,,"    1",,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-07-02","10.51","0.00",,,,"97","65",,,"    1",,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-07-03","10.29","0.00",,,,"94","66",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-07-04","6.71","0.00",,,,"93","61",,,,,,,"    1",
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-07-05","8.50","0.00",,,,"95","66",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-07-06","7.83","0.22",,,,"85","60","    1",,"    1",,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-07-07","6.26","1.23",,,,"81","60","    1",,"    1",,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-07-08","3.58","0.03",,,,"74","60","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-07-09","4.25","0.43",,,,"77","60","    1",,"    1",,,,"    1",
